id,(Intercept),StageActive,StageAdvanced,StageBloat,StageDry
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina,-0.5940365695402272,1.7491078908469078,3.6812914111090924,-0.3210245297334131,4.4066686065778855
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas,-0.6184867650575089,-0.18138872436709652,0.9066335694033241,0.07260047283665655,1.478993202953259
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,5.411823427141128,-1.6678029160639718,-2.553083238769028,0.633528237034127,-4.898901871092505
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas,-0.2464704608065426,0.4796346140372435,1.4805695698369514,0.1068285696691289,1.2175419599619377
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Morganella,-0.35238002381377853,1.5031679236511093,1.207233607782612,1.1750372471290496,0.32072485914999904
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Peptoniphilus,-0.3250143910191304,0.7459159478205327,0.21914337383006632,-0.5936759000549818,0.7464357215634235
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Wohlfahrtiimonadaceae;g__Ignatzschineria,1.4284173573013277,5.023258988005594,5.50957704484087,2.0545971281308004,4.982064309019817
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Hafnia-Obesumbacterium,-0.11269138990452399,1.3889673026555962,0.22794252125334735,2.433774325212109,0.5469334850159374
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Paeniglutamicibacter,-0.6155250932668698,0.05094825965166161,-0.07245299836981078,0.012845732618000705,-0.010471610441627699
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium,-0.11859941498972604,-0.2130760161927861,0.23410982937286962,-0.17846947921132225,0.16646144520654238
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium,-0.5389488217925076,-0.09121222749296298,1.1421239972776185,-0.20346113551870557,1.641614705644073
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,-0.6905169147490815,1.0661708635707905,1.1604414042692883,-0.27380604576959294,2.347270481203591
